ra_simbad,dec_simbad,Identifier
11.242897718062666,-44.30670269273,CD-43 6891
11.458161191577332,-39.87651232749,HD 99627
11.458001299484,-39.88261816304,2MASS J11272881-3952572
11.953443763029332,-36.08267505642,HD 103823
11.853649109659333,-43.9330569913,HD 102981
12.123005488484,-32.661852826579995,HD 105295
12.155680883184667,-42.838464724750004,HD 105577
12.109147826647334,-42.79746028385,CD-42 7422
12.472907545696,-39.04116402996,* u Cen
12.537455372598666,-42.29729749846,HD 109075
12.600286596155334,-39.86950568483,HD 109573
12.844767607938001,-33.99934795846,* p Cen
12.865814192856666,-39.68043067393,HD 111774
13.172074294251333,-32.805443873399994,HD 114335
13.291375909743333,-42.93297386495,HD 115371
13.393412534631999,-42.531393623999996,HD 116324
13.621605518872666,-40.89787698768,HD 118379
13.632581761670668,-41.57830506772,CD-40 8031
13.632581761670668,-41.57830506772,CD-40 8031
13.863778155555556,-32.994085194444445,* 3 Cen
14.029361486251334,-39.43861169799,HD 122259
14.223317611360667,-33.51826514106,HD 124283
14.183224962981333,-36.26716308399,HD 123889
14.28427506038,-34.53671762472,HD 124904
14.375080272929333,-35.53861773914,CD-34 9571
14.323300029305999,-37.00290685876,HD 125283
14.416949765223332,-37.44703684986,HD 126194
14.469562883333333,-29.491635666666667,* l Hya
14.439261979056667,-36.73494958327,CD-36 9353
14.759019060545333,-26.94266173525,HD 129831
14.769578150749334,-30.970114891879998,HD 129927
14.75723892753,-32.81039665863,HD 129787
14.789843246044,-35.053752631269994,UCAC2 16840932
14.949292933159333,-26.28502644453,HD 131885
14.841821386862001,-35.093350101990005,HD 130656
14.840503796080668,-35.11349431792,CD-34 9963
14.843076476134668,-34.98492584189,2MASS J14503508-3459056
14.907030330555555,-34.14278922222222,HD 131399
14.995745420238666,-34.42964346209,CD-33 10212
15.032800615520667,-34.35887669254,HD 132763
15.040559333333333,-34.0870589,RX J1502.4-3405
15.120782580013334,-35.08320218501,CD-34 10180
15.134745717058,-33.63216847975,RX J1508.0-3337
15.21879493006,-36.09141930329,HD 134837
15.337053624133334,-34.92543726585,HD 136164
15.318172196256,-36.36227966988,HD 135953
15.369793196922,-37.63562336536,HD 136482
15.401865590538,-36.0170129028,HD 136853
15.425047145341999,-36.19942299335,HD 137119
15.38593056961111,-36.85848668,* phi02 Lup
15.408988132068,-36.86743621562,V* MP Lup
15.408988132068,-36.86743621562,V* MP Lup
15.417657277118,-36.079311960990005,CD-35 10273
15.425880267718,-36.22965603285,V* MQ Lup
15.426851902647332,-35.6255373798,V* MR Lup
15.461756844265333,-36.236959155870004,HD 137499
15.455036239183999,-36.76755964775,HD 137432
15.494048049631333,-35.78094876383,CD-35 10323
15.447938300967333,-37.36839410857,UCAC2 15990177
15.456342622892526,-36.069281672200006,2MASS J15272286-3604087
15.496462451959333,-36.477057661050004,CD-36 10208
15.63406998591,-38.12307736158,V* MT Lup
15.678102910532,-37.938483315229995,V* MU Lup
15.746422400539332,-38.194608507629994,2MASS J15444712-3811406
15.797544588588666,-38.26000866054,HD 140958
15.827676114684666,-38.77747620998,HD 141254
15.829160423055555,-39.419198146666666,HD 141277
15.935890740192,-37.93503503297,THA 15-12
16.0020355155,-38.396708679166665,* eta Lup
16.056719291722224,-38.60254243083333,HD 143699
16.096188441666666,-39.84331488888889,HD 144118
16.051525419051334,-40.30706297991,HD 325367
16.079024686472668,-39.434661085799995,V* LM Lup
16.030395051714667,-40.438701841729994,RX J1601.8-4026
16.064583557386,-39.65035178479,CD-39 10292
16.095833788704,-39.10181479964,CD-38 10866
16.142933783422,-39.09285507468,V* V1027 Sco
16.138388553348804,-38.73491859280083,V* NQ Lup
16.148409582993335,-39.101610850490005,RX J1608.9-3905
16.167998279768668,-40.270079547339996,V* V1096 Sco
16.24937959500667,-39.62781130789,HD 145880
16.260320367554666,-41.64965708956,HD 145984
16.198153132453335,-39.0377181764,THA 15-43
16.26573720833,-39.7878532764,2MASS J16155664-3947163
16.143382555852668,-39.38401805027,V* V1094 Sco
16.731689462482667,-41.1133440719,HD 150591
16.745164630668,-40.83967506922,HD 150742
16.875524556008,-42.99179349253,HD 151966
15.030190187592002,-31.54403402211,HD 132761
15.049799026844,-32.64329139993,HD 132955
15.109221615732,-30.91848157696,V* HZ Lup
15.143501707552666,-33.28867045309,HD 134000
15.184582990152666,-32.85845604056,TYC 7316-564-1
15.224434132184,-33.14727885377,HD 134888
15.194356911690667,-32.81558028336,[WSK97] RX J1511.6-3249B
15.262603314669333,-33.53325697337,V* LT Lup
15.52144683888889,-33.819841888888895,HD 138138
15.522758335879335,-33.49429121311,CD-33 10568
15.698116174726,-34.88886251553,HD 139883
15.711395015805556,-34.710406033333335,* psi02 Lup
15.721442456277334,-35.24334428215,HD 140127
15.657714351643333,-34.77144752444,Sz 65
15.662881333333333,-34.850703700000004,RX J1539.7-3450
15.662881333333333,-34.850703700000004,RX J1539.7-3450
15.701440715759999,-36.02550390272,2MASS J15420518-3601317
15.729900110200667,-35.475031200100005,HD 140241
15.778949286197333,-34.68245278071,HD 140784
15.785046481206,-35.51803869483,HD 140840
15.781011579534667,-36.93684463484,HD 140757
15.778113262298001,-36.31318297128,CD-35 10498
15.934896660801334,-36.89287229329,HD 142446
15.934028920215333,-36.72978481303,2MASS J15560250-3643472
15.751768429349333,-35.10192026382,HD 140475
16.008701255555554,-36.087950194444446,HD 143215
16.109873328560003,-36.802270529619996,* tet Lup
16.033017881697997,-37.5343681163,V* LL Lup
16.078423196632,-37.816130774799994,HD 143927
16.065625753006668,-36.413780782559996,TYC 7342-865-1
16.134549953049333,-36.23183278268,HD 144591
16.274547205277997,-38.73676585666,HD 146181
16.20039111902236,-38.6743534174525,RX J1612.0-3840
16.220190646416665,-38.0642663163,2MASS J16131267-3803513
16.23278219854933,-36.3037164215,CD-35 10827
16.319539601920667,-38.851092333690005,CD-38 10948
16.408820663584667,-37.566044578589995,HR 6100
16.66314246328,-39.34455351175,GSC 07854-02093
16.697778651122,-40.46623430201,HD 150287
16.845977387995998,-38.25641904518,HD 151726
16.874281928646,-40.72315502518,V* V911 Sco
16.878253192712002,-38.76034768695,HD 152041
15.120815710556666,-29.50448124142,HD 133803
15.111828291802667,-30.792408952210003,2MASS J15064258-3047326
15.332370997831333,-30.10692285032,V* KN Lup
15.253874298597333,-30.97782869163,HD 135271
15.298919734602666,-30.47817287924,HD 135778
15.258915427506,-30.09268632732,CD-29 11614
15.340042566332,-30.62547152653,CD-30 12142
15.400845452779334,-32.16413520884,V* MO Lup
15.4788984,-31.29389677777778,HD 137727
15.538925744554,-31.14273951854,HD 138296
15.530619305982668,-32.88111533701,HD 138221
15.403185857926667,-30.51617815534,2MASS J15241147-3030582
15.603156423622666,-33.09280409973,HD 138923
15.573093717613332,-33.00244382946,2MASS J15342313-3300087
15.624420094690667,-32.48502842599,HD 139124
15.734381418005333,-33.18644563172,CD-32 11039
15.753574389928668,-34.291845667509996,CD-33 10685
15.923949853202666,-33.63980162324,2MASS J15552621-3338232
16.038479732979336,-35.26993332418,HD 143538
16.068644452124,-35.176848780949996,HD 143844
16.523036945083334,-34.704365172222225,* N Sco
16.872262588833333,-38.017534955277775,* mu.02 Sco
16.86450787635267,-38.047399464,* mu.01 Sco
16.995130657175334,-37.438042516939994,HD 153232
15.342060832392667,-28.2871066806,HD 136246
15.326269029994666,-28.7727087374,CD-28 11283A
15.64426930436111,-29.77774877888889,* tau Lib
15.763222281595333,-30.34881846032,V* KW Lup
15.825552637792667,-31.26112062073,HD 141313
15.817420826006666,-31.04827387105,CD-30 12558
15.817420826006666,-31.04827387105,CD-30 12558
15.914282224329334,-31.91287335808,WRAY 15-1380
15.980594309332666,-32.05230847534,HD 142992
16.091916580555555,-32.2380055,HD 144137
16.075154915070666,-32.12463200517,CD-31 12522
16.1423872295,-31.919745809444446,HD 144734
